

| 序号 | 单词 | 词性 | 释义 |
| 2780 | extend | v. | 延长， 扩大； 提供， 给予； 伸展， 达到 |
| 2781 | pair | n. | 一对 v. 成对，配对 |
| 2782 | policy | n. | 政策， 方针； 保险单 |
| 2783 | sympathetic | adj. | 同情的； 和谐的； 赞同的， 支持的； 合意的 |
| 2784 | mass | adj. | 大量的，大规模的 v. 聚集， 集中 n. 众多，大量；团，块，堆；群众；质量 |
| 2785 | desperate | adj. | 拼死的， 不顾一切的； 绝望的； 极需要的 |
| 2786 | initial | adj. | 最初的，开始的 n. 首字母 |
| 2787 | red | adj. | 红色的 n. 红色 |
| 2788 | dig | v. | 掘，挖；采掘 |
| 2789 | electron | n. | 电子 |
| 2790 | comfortable | adj. | 舒适的 |
| 2791 | association | n. | 协会， 团体； 联合， 交往 |
| 2792 | labour | n. | 劳动；工作；劳工 |
| 2793 | diagram | n. | 图解， 图表， 简图 |
| 2794 | scheme | v. | 密谋， 策划 n. 计划，方案；阴谋 |
| 2795 | accustomed | adj. | 惯常的， 习惯的 |
| 2796 | awake | adj. | 醒着的 v. 唤醒 |
| 2797 | entry | n. | 入口处； 登记； 进入； 参赛者名单； 条目 |
| 2798 | assistant | adj. | 助理的， 辅助的 n. 助手，助理，助教 |
| 2799 | pocket | n. | 衣袋 adj. 袖珍的 |
| 2800 | lime | n. | 石灰 |
| 2801 | drum | v. | 有节奏地敲击 n. 鼓，鼓状物；圆桶 |
| 2802 | singular | adj. | 单数的； 非凡的， 奇特的； 独一无二的 |
| 2803 | aim | v. | 瞄准；针对；致力 |
| 2804 | counter | n. | 柜台； 计数器； 筹码 |
| 2805 | because | conj. | 由于，因为 |
| 2806 | religious | adj. | 宗教的； 笃信宗教的， 虔诚的 |
| 2807 | improvement | n. | 改进， 改善； 改进处 |
| 2808 | dial | n. | 钟面；拨号盘 v. 拨 |
| 2809 | efficient | adj. | 效率高的； 有能力的 |
| 2810 | loudspeaker | n. | 扬声器，喇叭 |
| 2811 | typist | n. | 打字员 |
| 2812 | grasp | vt. | 抓紧，握紧；理解 n. 抓； 理解 |
| 2813 | picnic | n. | 郊游，野餐 v. 野餐 |
| 2814 | underneath | adv. | 在下面，在底下 prep. 在…下面，在…底下 n. 下部， 底部 |
| 2815 | contain | v. | 包含，容纳 |
| 2816 | go | v. | 去；走；变为 |
| 2817 | copper | n. | 铜； 铜币， 铜制器 |
| 2818 | delivery | n. | 投递， 交付； 分娩； 讲话方式； 投递的邮件 |
| 2819 | fill | v. | 装满，盛满；占满 |
| 2820 | overhead | adv. | 在头顶上 adj. 在头顶上的，架空的 n. 经常费用， 管理费用 |
| 2821 | ours | pron. | 我们的 |
| 2822 | borrow | v. | 借，借用，借人 |
| 2823 | landing | n. | 上岸，登陆，着陆 |
| 2824 | urgent | adj. | 紧急的， 急迫的 |
| 2825 | Roman | n. | 古罗马人 adj. 罗马的 |
| 2826 | remind | vt. | 提醒， 使想起 |
| 2827 | power | n. | 能力；力；权；幂 |
| 2828 | pick | n. | 镐，鹤嘴锄 |
| 2829 | possess | v. | 占用，拥有（财产） |
| 2830 | between | prep. | 在…中间 |
| 2831 | cafe | n. | 咖啡馆；小餐厅 |
| 2832 | badly | adv. | 坏，差；严重地 |
| 2833 | or | conj. | 或，或者；即 |
| 2834 | headquarters | n. | 司令部， 总部 |
| 2835 | medal | n. | 奖牌， 奖章， 勋章 |
| 2836 | post | n. | 柱，桩，杆 v. 贴出 |
| 2837 | awkward | adj. | 笨拙的， 尴尬的； 难操纵的， 使用不便的； 不灵巧的 |
| 2838 | generally | adv. | 一般地， 通常地； 普遍地 |
| 2839 | drop | v. | 使落下；降低 |
| 2840 | its | det. | . 它的 |
| 2841 | carry | v. | 携带；运载；传送 |
| 2842 | bill | n. | 账单；票据；招贴 |
| 2843 | barber | n. | 理发师 |
| 2844 | payment | n. | 支付， 支付的款项 |
| 2845 | tower | n. | 塔 v. 屹立，高耸 |
| 2846 | luggage | n. | 行李；皮箱，皮包 |
| 2847 | important | adj. | 重要的；有势力的 |
| 2848 | flare | v. | 闪耀 |
| 2849 | off | adv. | （离）开；（停）止 |
| 2850 | dear | adj. | 亲爱的 int. 啊 |
| 2851 | mode | n. | 方式；样式 |
| 2852 | coal | n. | 煤；煤块 |
| 2853 | approximate | adj. | 近似的 vt. 近似； 估计 |
| 2854 | defect | v. | 变节， 叛变 n. 缺点， 缺陷， 欠缺 |
| 2855 | afternoon | n. | 下午，午后 |
| 2856 | worthless | adj. | 无价值的， 无用的 |
| 2857 | infect | vt. | 传染， 感染； 影响 |
| 2858 | ultimate | adj. | 最后的，最终的 n. 终极， 顶点 |
| 2859 | linen | n. | 亚麻布；亚麻织物 |
| 2860 | moist | adj. | 湿润的， 潮湿的 |
| 2861 | anger | n. | 怒，愤怒 v. 使发怒 |
| 2862 | April | n. | 四月 |
| 2863 | match | n. | 比赛，竞赛；对手 |
| 2864 | gasoline | n. | （美）汽油 |
| 2865 | how | adv. | 怎么；怎样；多少 |
| 2866 | patient | adj. | 忍耐的，有耐心的 n. 病人 |
| 2867 | cunning | adj. | 狡猾的，狡诈的 |
| 2868 | paragraph | n. | （文章的）段，节 |
| 2869 | wound | n. | 创伤，伤 v. 使受伤 |
| 2870 | grade | v. | 给…分等级 n. 等级 |
| 2871 | vast | adj. | 巨大的， 大量的； 浩瀚的 |
| 2872 | enjoy | v. | 享受；欣赏，喜爱 |
| 2873 | deceive | vt. | 欺骗， 蒙蔽， 行骗 |
| 2874 | voltage | n. | 电压 |
| 2875 | reporter | n. | 记者，通讯员 |
| 2876 | dialog | n. | 对话，对白 |
| 2877 | air | n. | 空气；空中 |
| 2878 | circulate | v. | 循环， 流通； 流传， 散布， 传播 |
| 2879 | garden | n. | 花园，菜园；公园 |
| 2880 | discovery | n. | 发现；被发现的事物 |
| 2881 | look | v. | 看，显得 n. 看 |
| 2882 | forever | adv. | 永远；总是，老是 |
| 2883 | worship | n. | 礼拜；崇拜；崇拜: 爱慕：崇敬 v. 崇拜 |
| 2884 | altogether | adv. | 完全；总而言之 |
| 2885 | glimpse | vi. | 看一眼，一瞥 vt. 瞥见 n. 一瞥， 一看 |
| 2886 | dialect | n. | 方言， 土语， 地方话 |
| 2887 | vertical | adj. | 垂直的， 竖式的 |
| 2888 | vice | n. | 罪恶； 恶习， 缺点； 虎钳 |
| 2889 | romantic | adj. | 浪漫的； 多情的； 有浪漫色彩的， 传奇性的； 不切实际的， 空想的 |
| 2890 | health | n. | 健康状况；健康 |
| 2891 | plural | adj. | 复数的 n. 复数 |
| 2892 | piece | n. | 块；碎片 v. 拼合 |
| 2893 | free | adj. | 自由的；空闲的 |
| 2894 | robot | n. | 机器人；自动机 |
| 2895 | applicable | adj. | 能应用的； 合适的， 适当的 |
| 2896 | nobody | pron. | 谁也不；无人 |
| 2897 | unload | v. | 卸， 卸货； 下客； 退出子弹； 卸下胶卷 |
| 2898 | apologize | vi. | 道歉， 谢罪， 认错 |
| 2899 | anxiety | n. | 焦虑， 忧虑； 渴望， 热望 |
| 2900 | drag | v. | 拖，拉；迫使，硬拉；拖着脚步走 n. 累赘； 一吸， 一抽 |
| 2901 | clay | n. | 黏土， 泥土； 肉体 |
| 2902 | government | n. | 政府；治理；政治 |
| 2903 | flower | n. | 花，花卉；开花 |
| 2904 | outwards | adv. | 向外，往海外 |
| 2905 | withstand | vt. | 抵挡， 反抗 |
| 2906 | forgive | v. | 原谅，饶恕，宽恕 |
| 2907 | eve | n. | 前夜， 前夕， 前一刻 |
| 2908 | bind | vt. | 捆绑， 包扎； 装订； 约束； 使结合， 使黏合 |
| 2909 | pillar | n. | 柱， 柱子； 栋梁 |
| 2910 | metric | adj. | 公制的， 米制的 |
| 2911 | pine | vi. | 消瘦， 衰弱； 痛苦， 悲哀； 渴望 n. 松树，松木 |
| 2912 | profession | n. | 职业； 声明， 表白 |
| 2913 | eighteen | num. | 十八，十八个 |
| 2914 | breath | n. | 气息，呼吸 |
| 2915 | gang | vi. | 聚集， 结成一伙 n. 一帮，一伙 |
| 2916 | effort | n. | 努力， 努力的成果 |
| 2917 | hardship | n. | 艰难， 困苦 |
| 2918 | near | adv. | 近，接近 adj. 近的 |
| 2919 | shower | n. | 阵雨；（一）阵；淋浴 |
| 2920 | alive | adj. | 活着的；活跃的 |
| 2921 | Indian | adj. | 印度的 n. 印度人 |
| 2922 | serve | v. | 为…服务；招待 |
| 2923 | fear | n. | 害怕；担心 v. 害怕 |
| 2924 | operational | adj. | 运转的； 可使用的； 操作上的 |
| 2925 | arithmetic | n. | 算术， 四则运算 |
| 2926 | madam | n. | 夫人，女士，太太 |
| 2927 | dangerous | adj. | 危险的，不安全的 |
| 2928 | if | conj. | 假如，如果 |
| 2929 | per | prep. | 每， 每一 |
| 2930 | loss | n. | 遗失；损失；失败 |
| 2931 | damp | adj. | 潮湿的，微湿的 n. 潮湿，湿气 vt. 使潮湿； 使沮丧； 抑制 |
| 2932 | age | n. | 年龄；时代 v. 变老 |
| 2933 | stain | vt. | 玷污；给…着色 n. 污点， 污迹 |
| 2934 | vain | adj. | 徒劳的； 自负的 |
| 2935 | gratitude | n. | 感激， 感谢， 感恩 |
| 2936 | egg | n. | 蛋，卵；蛋，鸡蛋 |
| 2937 | pole | n. | 杆； 极， 磁极， 电极 |
| 2938 | June | n. | 六月 |
| 2939 | accordingly | adv. | 因此， 所以； 照着 |
| 2940 | comfort | n. | 舒适；安慰 v. 安慰 |
| 2941 | employee | n. | 受雇者， 雇员， 雇工 |
| 2942 | typical | adj. | 典型的， 代表性的 |
| 2943 | nucleus | n. | 核，（原子）核；核心 |
| 2944 | all | det. | 全部的 pron. 全部 |
| 2945 | India | n. | 印度 |
| 2946 | cottage | n. | 村舍，小屋 |
| 2947 | oblige | vt. | 迫使； 施恩于， 帮…的忙； 使感激 |
| 2948 | skilled | adj. | 有技能的； 熟练的； 需要技能的 |
| 2949 | inn | n. | 小旅店， 小酒店 |
| 2950 | static | adj. | 静的，静态的；静止的，停滞的 n. 静电 |
| 2951 | forty | num. | 四十，第四十 |
| 2952 | portrait | n. | 肖像， 画像 |
| 2953 | partial | adj. | 部分的； 不公平的； 偏爱的， 偏袒的 |
| 2954 | yearly | adv. | 一年一度地 adj. 每年的 |
| 2955 | straw | n. | 稻草； 麦秆吸管， 吸管 |
| 2956 | dip | v. | 蘸，浸 n. 游一会儿泳 |
| 2957 | invite | v. | 邀请；（正式）邀请，请求 |
| 2958 | cord | n. | 细绳， 粗线， 索； 灯芯绒裤 |
| 2959 | invasion | n. | 入侵， 侵略， 侵犯 |
| 2960 | audience | n. | 听众， 观众， 读者 |
| 2961 | compound | adj. | 复合的， 化合的 n. 化合物，复合物；复合词 vt. 使恶化， 加重； 使化合， 使合成 |
| 2962 | risk | n. | 危险，风险；引起危险的事物 vt. 冒…的危险， 使遭受危险 |
| 2963 | almost | adv. | 几乎，差不多 |
| 2964 | loosen | vt. | 解开； 放松， 松弛 |
| 2965 | industrialize | v. | 使工业化 |
| 2966 | normally | adv. | 通常； 正常地 |
| 2967 | ridiculous | adj. | 荒谬的， 可笑的 |
| 2968 | balloon | n. | 气球， 玩具气球 |
| 2969 | in | prep. | 在…里；进，入 |
| 2970 | everyday | adj. | 每天的，日常的 |
| 2971 | furthermore | adv. | 而且， 此外 |
| 2972 | criminal | adj. | 犯罪的， 刑事的 n. 犯人，罪犯，刑事犯 |
| 2973 | Christian | adj. | 基督教的 n. 基督教徒，信徒 |
| 2974 | cargo | n. | 船货， 货物 |
| 2975 | plantation | n. | 种植园， 人工林 |
| 2976 | gross | adj. | 总的； 严重的； 粗俗的； 臃肿的 |
| 2977 | gradual | adj. | 逐渐的， 渐进的； 坡度平缓的 |
| 2978 | culture | n. | 文化， 文明； 教养； 培养； 培养菌 |
| 2979 | four | num. | 四，四个，第四 |
| 2980 | immigrant | n. | 移民， 侨民 |
| 2981 | trend | vi. | 伸向；倾向 n. 倾向 |
| 2982 | humid | adj. | 湿的，湿气重的 |
| 2983 | preparation | n. | 准备， 预备； 制剂 |
| 2984 | magnetic | adj. | 磁的； 有吸引力的 |
| 2985 | November | n. | 十一月 |
| 2986 | clothes | n. | 衣服，服装 |
| 2987 | glow | v. | 发白热光 n. 白热光；脸红；激情 |
| 2988 | pad | n. | 垫，衬垫；便笺本；发射台，直升机起落场 vt. 填塞 |
| 2989 | dusk | n. | 薄暮， 黄昏； 幽暗 |
| 2990 | force | vt. | 强迫；用力推动，用力打开 n. 军队， 兵力； 暴力， 武力； 力， 力气； 影响力， 效力 |
| 2991 | rainy | adj. | 下雨的，多雨的 |
| 2992 | tame | adj. | 驯服的，顺从的；沉闷的，乏味的 vt. 制服， 控制并利用； 驯化， 驯服 |
| 2993 | formal | adj. | 正式的， 礼仪上的 |
| 2994 | fruit | n. | 水果；果实；成果 |
| 2995 | equation | n. | 方程（式）；等式 |
| 2996 | eighty | num. | 八十，八十个 |
| 2997 | reach | v. | 抵达；伸出；达到 |
| 2998 | luxury | n. | 奢侈，奢华；奢侈品 |
| 2999 | pound | n. | 磅；英磅 |
| 3000 | beer | n. | 啤酒 |
| 3001 | accuracy | n. | 准确（性）；准确度 |
| 3002 | punish | v. | 罚，惩罚，处罚 |
| 3003 | poetry | n. | 诗， 诗歌， 诗集 |
| 3004 | idle | adj. | 空闲的，懒散的；无用的 v. 虚度， 无所事事 |
| 3005 | environment | n. | 环境， 外界； 围绕 |
| 3006 | island | n. | 岛，岛屿 |
| 3007 | color | n. | 颜色，彩色；颜料 |
| 3008 | extremely | adv. | 极端，极其，非常 |
| 3009 | certainly | adv. | 一定，必定；当然 |
| 3010 | tractor | n. | 拖拉机， 牵引车 |
| 3011 | handwriting | n. | 笔迹， 手迹； 书法 |
| 3012 | aid | n. | 帮助； 救护； 助手； 辅助手段 |
| 3013 | craft | n. | 工艺， 手艺； 船， 航空器 |
| 3014 | laugh | v. | 笑，发笑 n. 笑 |
| 3015 | century | n. | 世纪；百年 |
| 3016 | hers | pron. | 她的（所有物） |
| 3017 | gravity | n. | 重力， 引力； 严重性； 严肃， 庄重 |
| 3018 | northeast | n. | 东北 adj. 位于东北的 |
| 3019 | purpose | n. | 目的；意图 |
| 3020 | literary | adj. | 文学的； 文人的， 书卷气的 |
| 3021 | nursery | n. | 托儿所， 保育室； 苗圃 |
| 3022 | excite | v. | 使激动；引起 |
| 3023 | resolution | n. | 正式决定， 决议； 决心， 决意； 解决， 解答； 分辨率， 清晰度 |
| 3024 | disappoint | v. | 使失望，使受挫折 |
| 3025 | silver | n. | 银；银币；银器 |
| 3026 | hesitate | vi. | 犹豫， 踌躇； 含糊； 不情愿 |
| 3027 | transmit | vt. | 传送， 传递； 传染； 播送， 发射 |
| 3028 | independence | n. | 独立， 自主， 自立 |
| 3029 | manager | n. | 经理，管理人 |
| 3030 | brass | n. | 黄铜， 黄铜器， 铜管乐器 |
| 3031 | band | n. | 乐队；群，伙；带；条纹；波段 vt. 用带绑扎 |
| 3032 | proceed | vi. | 继续进行； 行进， 前进 |
| 3033 | expansion | n. | 扩大， 扩充， 扩张， 膨胀 |
| 3034 | from | prep. | 从…来 |
| 3035 | elimination | n. | 排除，消除；消灭 |
| 3036 | defend | v. | 保卫，防守 |
| 3037 | always | adv. | 总是，一直；永远 |
| 3038 | rod | n. | 杆，竿，棒 |
| 3039 | mainland | n. | 大陆 |
| 3040 | honeymoon | n. | 蜜月 |
| 3041 | scholar | n. | 学者（尤指文学方面） |
| 3042 | late | adj. | 迟的 adv. 迟，晚 |
| 3043 | Germany | n. | 德意志，德国 |
| 3044 | clearly | adv. | 明白地，清晰地 |
| 3045 | follow | v. | 跟随；结果是 |
| 3046 | pink | n. | 粉红色 adj. 粉红色的 |
| 3047 | bring | v. | 带来；引出；促使 |
| 3048 | ground | n. | 地；场地；根据 |
| 3049 | film | n. | 影片；胶卷；薄层 |
| 3050 | Canada | n. | 加拿大 |
| 3051 | propose | v. | 提议， 建议， 提出； 提名， 推荐； 打算， 计划； 求婚 |
| 3052 | recorder | n. | 录音机， 录像机； 记录装置， 记录仪 |
| 3053 | economy | n. | 经济； 节约， 节省 |
| 3054 | among | prep. | 在…之中 |
| 3055 | discussion | n. | 讨论，谈论；论述 |
| 3056 | republic | n. | 共和国，共和政体 |
| 3057 | yawn | vi. | 打呵欠 n. 呵欠 |
| 3058 | lawn | n. | 草地， 草坪， 草场 |
| 3059 | gas | n. | 气体；煤气；汽油 |
| 3060 | ability | n. | 能力， 本领； 才能， 才智 |
| 3061 | instinct | n. | 本能， 天性； 直觉 |
| 3062 | await | vt. | 等候； 期待； 将降临到…身上 |
| 3063 | lemon | n. | 柠檬； 柠檬树； 柠檬黄， 淡黄色 |
| 3064 | triangle | n. | 三角（形） |
| 3065 | advise | v. | 劝告；建议；通知 |
| 3066 | bank | n. | 银行；库；沿，堤 |
| 3067 | measurement | n. | 衡量， 测量； 尺寸， 大小 |
| 3068 | help | v. | 帮助；援助 n. 帮手 |
| 3069 | remember | v. | 记得；想起；记住 |
| 3070 | widow | n. | 寡妇 |
| 3071 | telescope | n. | 望远镜 |
| 3072 | even | adv. | 甚至；甚至更，还 |
| 3073 | booth | n. | 公用电话亭；货摊 |
| 3074 | final | adj. | 最后的；决定性的 |
| 3075 | receiver | n. | 收受者，收件人 |
| 3076 | drought | n. | 旱灾，干旱 |
| 3077 | tin | n. | 锡；罐头 |
| 3078 | left | adj. | 左边的 |
| 3079 | farm | n. | 农场，农庄；饲养场 |
| 3080 | miner | n. | 矿工 |
| 3081 | Britain | n. | 不列颠，英国 |
| 3082 | mix | v. | 使混合，混淆 |
| 3083 | pinch | vt. | 捏，拧 n. 撮， 微量 |
| 3084 | whip | vt. | 鞭笞；猛地移动；搅打成糊状 n. 鞭子 |
| 3085 | fond | adj. | 喜爱的；溺爱的 |
| 3086 | expression | n. | 词语； 表达； 表情 |
| 3087 | five | num. | 五，五个，第五 |
| 3088 | agriculture | n. | 农业，农艺；农学 |
| 3089 | anyhow | adv. | 无论如何， 不管怎么说； 随随便便地， 杂乱无章地 |
| 3090 | transistor | n. | 晶体管 |
| 3091 | house | n. | 房屋，住宅；商号 |
| 3092 | knob | n. | 门把，拉手；旋纽 |
| 3093 | religion | n. | 宗教， 宗教信仰 |
| 3094 | factor | n. | 因素； 因子； 系数 |
| 3095 | inexpensive | adj. | 花费不多的，廉价的 |
| 3096 | finish | v. | 完成；结束 n. 结尾 |
| 3097 | allow | vt. | 允许， 准许； 同意给； 承认； 允许…进入 |
| 3098 | keen | adj. | 热心的； 激烈的； 敏锐的， 敏捷的 |
| 3099 | presently | adv. | 不久， 一会儿； 现在， 目前 |
| 3100 | statistical | adj. | 统计的，统计学的 |
| 3101 | vitamin | n. | 维生素，维他命 |
| 3102 | enemy | n. | 敌人；仇敌；敌兵 |
| 3103 | eight | num. | 八，八个 |
| 3104 | design | vt. | 设计；预定，指定 n. 设计， 构想； 图样； 企图 |
| 3105 | cream | n. | 奶油，乳脂；奶油色 |
| 3106 | duty | n. | 责任；职责；税 |
| 3107 | cousin | n. | 堂（或表）兄弟（姐妹） |
| 3108 | lamb | n. | 羔羊， 小羊； 羔羊肉 |
| 3109 | clear | adj. | 清晰的 v. 清除 |
| 3110 | whilst | conj. | 当…的时候 |
| 3111 | bake | v. | 烤，烘，焙；烧硬 |
| 3112 | airplane | n. | 飞机 |
| 3113 | coat | n. | 外套，上衣；皮毛 |
| 3114 | wreck | n. | 失事；残骸；精神或身体已垮的人 vt. 破坏 |
| 3115 | affair | n. | 事务；事情，事件 |
